index,nct_id,display_order,candidate_criteria_text,score,hedging
389,NCT04742634,4,"Must have undergone gene panel testing prior to the start of transplant conditioning and must have at least one somatically acquired mutation that is interrogated by the MyeloSeq-HD panel. If the patient has a variant that is known to be a germline/inherited myeloid predisposition gene in that patient, this variant cannot and will not be used as evidence of MRD positivity. If the pre-transplant gene panel testing is a next-generation sequencing panel other than the MyeloSeq platform, the outside report will be reviewed by the principal investigator (PI) and the molecular pathologists at the McDonnell Genome Institute to ensure eligibility.",0.9743830561637878,true
65,NCT03602157,14,PRIOR TO CELL PROCUREMENT: Subjects must not have a history of intolerance to fludarabine. Subjects with an intolerance to bendamustine may be allowed to enroll at the discretion of the clinical investigator if he/she thinks that the subject is a candidate for lymphodepletion with cyclophosphamide and fludarabine.,0.9743155837059021,true
238,NCT04423211,5,"Patients must have no definite evidence for extrapelvic metastatic disease. This may be determined by CIM (CT abdomen/pelvis or MRI abdomen/pelvis AND bone scintigraphy or equivalent) within 26 weeks prior to step 0 registration. If patient does not have prior CIM, an existing study-eligible = PET using FDA-approved radiotracer may be used to determine whether patient requires CIM.
For patients who have study-eligible PET done without prior CIM:
* Baseline CIM is required if the study-eligible PET is positive for extrapelvic lesions. Patient should have a baseline CT/MRI (e.g. for soft tissue lesions) and performed within 16 weeks prior to study registration./or a bone scan (e.g. for osseous lesions), for further evaluation of the PET-detected extrapelvic lesion(s).
* Baseline CIM is not required if the study-eligible PET is negative for extrapelvic lesions.
NOTE: Extra-pelvic metastases are defined as extrapelvic soft tissue, lymph node and organ metastases, and/or any osseous metastases; extra-pelvic is defined as superior to common iliac bifurcation, and/or outside of standard fields for prostate bed + whole pelvis nodal RT fields",0.9740725755691528,true
306,NCT04579224,20,"Participants must not be pregnant or nursing due to the risk of harm to a fetus or nursing infant. Women and men of reproductive potential must have agreed to use an effective contraceptive method for the course of the study and 6 months (females) or 3.5 months (males) after the last dose. A woman is considered to be of ""reproductive potential"" if she has had menses at any time in the preceding 12 consecutive months. In addition to routine contraceptive methods, ""effective contraception"" also includes heterosexual celibacy and surgery intended to prevent pregnancy (or with a side-effect of pregnancy prevention) defined as a hysterectomy, bilateral oophorectomy or bilateral tubal ligation. However, if at any point a previously celibate participant chooses to become heterosexually active during the time period for use of contraceptive measures outlined in the protocol, he/she is responsible for beginning contraceptive measures",0.9733515977859497,true
322,NCT04585958,24,"Patients who are human immunodeficiency virus (HIV) positive may participate IF they meet the following eligibility requirements:
* They must be stable on their anti-retroviral regimen, and they must be healthy from an HIV perspective 
* They must have an undetectable viral load and a CD4 count >= 250 cells/uL within 7 days of enrollment
* They must not be currently receiving prophylactic therapy for an opportunistic infection and must not have had an opportunistic infection within the past 6 months
* HIV-infected patients should be monitored every 12 weeks for viral load and CD4 counts",0.9733006954193115,true
253,NCT04484012,2,"Participants must agree to allow the use of archival tissue from diagnostic tumor biopsies
* If unavailable, exceptions may be granted with study principal investigator (PI) approval
Note: For research participants who do not speak English, a short form consent may be used with a City of Hope (COH) certified interpreter/translator to proceed with screening and leukapheresis, while the request for a translated full consent is processed",0.9731103181838989,true
63,NCT03602157,4,"PRIOR TO CELL PROCUREMENT: Diagnosis of recurrent lymphoma in subjects who have failed >= 2 prior treatment regimens.
* These prior treatment regimens must include brentuximab vedotin.
* If the subject has Hodgkin lymphoma, the subject must have either failed autologous transplant or must not be eligible for autologous transplant.
* If the subject has grey zone lymphoma, the subject must have failed an anthracycline containing regimen unless the subject was not previously a candidate for anthracycline.
* Subjects relapsed after autologous or allogeneic stem cell transplant are eligible for this study.",0.9730885624885559,true
32,NCT03180268,13,"If the patient is a woman is of childbearing potential, a serum pregnancy test, obtained within 14 days prior to step 2 registration, must be negative, and, if randomized to receive radiation therapy, the woman must agree to use contraception",0.9730424880981445,true
293,NCT04548752,31,"Participants must not be pregnant or nursing due to the possibility of harm to the fetus or nursing infant from this treatment regimen. Women of childbearing potential must have a negative urine or serum pregnancy test within 28 days prior to registration. Women/men of reproductive potential must have agreed to use an effective contraceptive method for the course of the study through 6 months after the last dose of study medication. A woman is considered to be of ""reproductive potential"" if she has had menses at any time in the preceding 12 consecutive months. In addition to routine contraceptive methods, ""effective contraception"" also includes heterosexual celibacy and surgery intended to prevent pregnancy (or with a side-effect of pregnancy prevention) defined as a hysterectomy, bilateral oophorectomy or bilateral tubal ligation. However, if at any point a previously celibate participant chooses to become heterosexually active during the time period for use of contraceptive measures, he/she is responsible for beginning contraceptive measures. Should a woman become pregnant or suspect she is pregnant while she or her partner is participating in this study, she should inform her treating physician immediately",0.97299724817276,true
112,NCT03710421,2,"Agreement to allow the use of archival tissue from diagnostic tumor biopsies 
* If unavailable, exceptions may be granted with study primary investigator approval
Note: For research participants who do not speak English, a short form consent may be used with a COH certified interpreter/translator to proceed with screening and leukapheresis, while the request for a translated full consent is processed.",0.9728404879570007,true
418,NCT04852887,5,"The patient must have undergone a lumpectomy and the margins of the resected specimen or re-excision must be histologically free of invasive tumor and breast ductal carcinoma in situ (DCIS) with no ink on tumor as determined by the local pathologist. If pathologic examination demonstrates tumor at the line of resection, additional excisions may be performed to obtain clear margins. (Patients with margins positive for breast lobular carcinoma in situ [LCIS] are eligible without additional resection)",0.9727608561515808,true
302,NCT04579224,5,"Participant must have had prior systemic therapy in metastatic setting that:   
* Included enfortumab vedotin 
* Included a PD1/PDL1 antibody
** NOTE: Under the discretion of the treating physician, participants who are not candidates for PD1/PDL1 antibody systemic therapy are allowed
* Any systemic therapy provided in adjuvant, neoadjuvant, or chemoradiation settings for urothelial carcinoma can be considered to be in metastatic setting, if the last day of treatment was within 12 months prior to the diagnosis of metastatic disease",0.9727421402931213,true
349,NCT04671667,9,"Patient must not have received anti-PD-1/PD-L1 therapy for recurrent disease. If the patient received anti-PD-1/PD-L1 therapy as part of initial upfront curative intent treatment (either as part of definitive non-surgical therapy or in the adjuvant setting) in the past, the last dosage of anti-PD-1/PD-L1 therapy must have been given greater than one year prior to randomization",0.9727118015289307,true
132,NCT03761108,9,"Refractory disease is defined as progression during treatment or within 60 days after completion of therapy, or <25% response to therapy. AND, for ALL patients, if they have relapsed after a BCMA-directed CAR-T cellular therapy then: • Treatment with a CAR-T must have been associated with a response of PR or better, and • If CAR-T cellular therapy was the most recent prior therapy, excluding corticosteroids, then treatment must have been a minimum of 60 days prior to treatment with REGN5458. Key",0.9726412892341614,true
