nct_id,name,source
NCT02452008,Abiraterone,"Must have had prior abiraterone treatment"
NCT02734537,Gross Total Resection,"Per the operative report, the gross total resection of the primary tumor with curative intent was completed within 8 weeks prior to randomization"
NCT03104491,Allogeneic Hematopoietic Stem Cell Transplantation,"Patients who underwent an allogeneic hematopoietic stem cell transplantation from any donor source for acute lymphocytic leukemia"
NCT03161431,Anti-PD1 Monoclonal Antibody,"Prior disease progression on anti-PD1 therapy (i.e., anti-PD1 or anti-PD-L1, including prior adjuvant)"
NCT03164460,Radiation Therapy,"Patients with histologically documented recurrent head and neck cancer, or second primary head and neck cancer, AND who have previously received radiation (at least 30 Gy) for head and neck cancer"
NCT03180268,Gross Total Resection,"The patient must have a newly diagnosed unifocal intracranial meningioma, gross totally resected"
NCT03186898,Computed Tomography,"All patients must have computed tomography (CT) scan chest/abdomen/pelvis with multiphasic liver CT scan prior to registration;"
NCT03277638,Radiation Therapy,"The patient must have completed chemoradiation with radiation therapy and temozolomide of the primary tumor according to standards of care"
NCT03422198,Hysterectomy,"Patients post hysterectomy and free from residual disease"
NCT03465592,Allogeneic Bone Marrow Transplantation,"Patients must be post reduced intensity conditioning (RIC) haploidentical bone marrow transplant (haploBMT)"
NCT03488693,Mastectomy,"Patients must have been treated by breast conserving surgery (BCS) or mastectomy with clear margins of excision"
NCT03556228,Antineoplastic Agent,"Histologically or cytologically confirmed diagnosis of any type of solid tumor malignancy or lymphoma that is not responsive to standard therapies or had progressed following standard therapy and for which there is no approved or curative therapy"
NCT03602157,Brentuximab Vedotin,"These prior treatment regimens must include brentuximab vedotin"
NCT03618550,Multiple Agent Systemic Chemotherapy,"Relapse or refractory disease following 1 line of multi-agent chemotherapy (not including pembro-GVD)"
NCT03708224,Biopsy,"Agree to research analysis of an existing pre-treatment biopsy available that was obtained within 90 days prior to the day of consent"
NCT03710421,Anti-CD38 Monoclonal Antibody,"Participant must have received prior treatment with an anti‐CD38 antibody"
NCT03710421,Immunotherapy,"Participant must have received prior treatment with an immunomodulatory agent"
NCT03710421,Proteasome Inhibitor,"Participant must have received prior treatment with a proteasome inhibitor"
NCT03734692,Platinum Compound,"Patients must have completed prior platinum-based therapy"
NCT03761108,Proteasome Inhibitor,"Patients with MM whose disease meets the following criteria: a. Progression on or after at least 3 prior lines of therapy including a(n) PI, IMiD, and anti-CD38 antibody, OR b. Patients must be triple-refractory, defined as being refractory to prior treatment with at least 1 anti-CD38 antibody, a proteasome inhibitor, and an IMiD."
NCT03761108,Immunomodulatory Imide Drug,"including either: a. Progression on or after at least 3 lines of therapy, or intolerance of therapy, including a proteasome inhibitor, an Immunomodulatory agent (IMiD), and an anti-CD38 antibody, OR b. Progression on or after an anti-CD38 antibody and have disease that is ""double refractory"" to a proteasome inhibitor and an IMiD, or intolerance of therapy."
NCT03785288,Total Abdominal Hysterectomy with Bilateral Salpingo-Oophorectomy,"Surgery consisted of total abdominal or laparoscopic hysterectomy and bilateral salpingo oophorectomy (TH-BSO) with or without lymph node dissection"
NCT03819296,Immune Checkpoint Inhibitor,"Treatment with any ICPI agent"
NCT03900793,Systemic Therapy,"Histologically confirmed osteosarcoma (at either original diagnosis or relapse) that has either recurred or progressed after at least one prior systemic therapy and for which no curative therapy exists"
NCT03987386,Radical Prostatectomy,"Patient has diagnosis of pathologically confirmed prostate cancer, treated with radical prostatectomy"
NCT04038619,Immune Checkpoint Inhibitor,"Treatment with any ICPI agent(s)"
